nif,cod_postal,DOB,nome,sexo,peso,cod_modalidade,cod_clube,altura
10000025,1871-254,"1989-08-01 09:54:16","Sofia Oliveira",M,68,3,4,1.42
10000026,1193-184,"1983-11-01 16:15:24","Matilde Ribeiro",M,51,6,6,1.81
10000027,1220-232,"1992-10-11 16:16:37","Lucas Moreira",H,42,7,7,1.71
10000028,1885-81,"1988-04-14 12:05:48","Diogo Fernandes",H,41,7,4,1.77
10000029,1144-740,"1992-10-25 17:44:28","Íris Sampaio",M,46,7,2,1.83
10000030,1703-820,"1994-07-25 17:45:09","Benedita Pinto",M,97,3,5,1.36
10000031,1530-614,"1997-12-01 09:36:24","Catarina Fernandes",M,56,7,6,1.35
10000032,1413-17,"1996-12-06 17:10:32","Afonso Ribeiro",H,62,8,6,1.82
10000033,1230-427,"1992-01-17 08:02:51","Rafael Costa",H,93,6,5,1.36
10000034,1021-773,"1982-06-20 17:31:39","Nicole Almeida",M,94,0,3,1.57
10000035,1804-12,"1994-11-23 11:47:18","Bruna Jesus",M,77,4,5,1.72
10000036,1778-573,"1980-04-19 15:44:38","Enzo Alves",H,96,6,7,1.50
10000037,1063-913,"1983-08-19 09:51:29","Manuel Costa",H,62,6,1,1.72
10000038,1771-604,"1994-06-02 17:08:34","Margarida Carvalho",M,50,9,2,1.45
10000039,1505-700,"1995-10-20 08:45:06","Constança Sampaio",M,77,2,4,1.40
10000040,1751-129,"1981-03-09 13:08:38","Vicente Rodrigues",H,95,5,7,1.38
10000041,1067-839,"1993-10-17 15:26:10","Inês Alves",M,81,2,2,1.44
10000042,1289-614,"1980-04-06 09:17:00","Mara Carvalho",M,68,2,2,1.71
10000043,1249-606,"1987-10-09 13:00:28","Vasco Vaz",H,99,4,4,1.42
10000044,1059-318,"1989-11-24 09:39:20","Filipe Pinto",H,50,1,6,1.73
10000045,1009-70,"1994-06-07 15:45:05","Daniela Marques",M,81,9,6,1.65
10000046,1120-43,"1984-06-13 16:27:00","Gonçalo Gonçalves",H,69,3,3,1.83
10000047,1750-267,"1999-06-04 10:46:14","Duarte Marques",H,67,6,4,1.43
10000048,1285-668,"1980-07-22 09:30:22","Constança Carvalho",M,87,6,2,1.38
10000049,1556-463,"1980-10-08 14:14:20","Inês Vaz",M,55,8,2,1.84
10000050,1092-951,"1982-08-17 08:48:15","Camila Alves",M,97,0,2,1.35
10000051,1671-260,"1998-11-06 08:04:26","Bianca Ribeiro",M,81,0,3,1.43
10000052,1774-330,"1995-05-23 10:16:33","Ema Jesus",M,82,6,1,1.41
10000053,1509-615,"1983-10-13 17:42:17","Gabriela Sampaio",M,88,2,1,1.87
10000054,1391-650,"1996-10-01 14:54:56","Tomás Sampaio",H,81,5,0,1.78
10000055,1775-547,"1999-12-24 09:06:56","Yara Fernandes",M,72,4,0,1.81
10000056,1787-924,"1992-07-18 12:27:59","Sofia Alves",M,62,7,2,1.87
10000057,1061-636,"1987-04-03 10:43:21","Francisco Sampaio",H,61,0,5,1.81
10000058,1486-715,"1983-07-01 10:28:34","Diana Teixeira",M,92,3,1,1.30
10000059,1139-387,"1998-06-25 17:17:07","Catarina Fernandes",M,60,3,6,1.76
10000060,1143-944,"1990-04-20 10:31:09","António Guimarães",H,67,5,6,1.76
10000061,1108-36,"1994-01-17 12:58:43","Margarida Almeida",M,49,4,0,1.61
10000062,1982-405,"1995-09-19 12:59:31","Rafael Silva",H,46,6,4,1.89
10000063,1163-973,"1991-04-07 09:54:39","Matilde Guimarães",M,65,7,5,1.40
10000064,1421-567,"1998-03-09 08:35:33","Núria Teixeira",M,59,3,0,1.71
10000065,1656-609,"1995-09-03 10:13:44","Sara Castro",M,63,4,2,1.71
10000066,1827-648,"1982-10-21 13:27:02","Bruna Sousa",M,56,4,4,1.69
10000067,1244-721,"1982-05-09 16:12:48","Francisco Bragança",H,86,4,4,1.41
10000068,1309-672,"1995-04-22 12:43:31","Rodrigo de Caminha",H,81,3,0,1.71
10000069,1435-868,"1997-01-09 17:10:39","Carlota Almeida",M,90,9,3,1.64
10000070,1419-653,"1986-04-06 15:12:21","Alice Gonçalves",M,67,5,7,1.39
10000071,1029-949,"1999-04-21 16:30:16","Lara de Caminha",M,68,0,7,1.70
10000072,1168-56,"1992-09-20 12:16:27","Francisca Pinto",M,58,7,3,1.85
10000073,1814-479,"1994-07-25 15:35:01","Henrique Correia",H,95,3,0,1.69
10000074,1772-168,"1982-06-01 10:14:14","Vasco Alves",H,74,5,3,1.32
10000075,1759-230,"1992-01-14 11:04:12","Ariana Mendes",M,73,0,3,1.41
10000076,1257-654,"1985-06-03 15:44:51","Beatriz Mendes",M,64,0,2,1.53
10000077,1934-707,"1994-07-27 09:29:00","Alexandre Oliveira",H,47,0,3,1.31
10000078,1856-799,"1990-01-09 10:58:16","Letícia Moreira",M,76,1,1,1.86
10000079,1745-710,"1990-12-01 11:50:59","Francisco Costa",H,46,1,7,1.58
10000080,1986-692,"1998-06-16 12:28:32","Beatriz da Veiga",M,46,4,4,1.30
10000081,1502-152,"1986-03-26 09:23:47","Lucas Santos",H,47,2,0,1.31
10000082,1963-168,"1993-07-20 17:27:09","Marta Nunes",M,72,3,4,1.63
10000083,1436-363,"1980-02-15 10:52:09","Yara Sousa",M,82,4,5,1.45
10000084,1419-280,"1989-11-12 11:41:21","Santiago Almeida",H,63,6,6,1.42
10000085,1348-659,"1982-02-18 08:52:51","Santiago Castro",H,87,7,0,1.38
10000086,1507-59,"1993-08-13 15:51:52","Gustavo Sampaio",H,53,7,4,1.55
10000087,1889-247,"1991-08-11 15:01:17","António da Gama",H,85,5,0,1.58
10000088,1243-983,"1983-04-07 13:00:00","Leonardo Martins",H,47,3,4,1.73
10000089,1287-446,"1996-11-21 16:00:13","Guilherme da Veiga",H,40,1,2,1.79
10000090,1712-41,"1995-08-25 15:36:23","Manuel da Veiga",H,94,4,7,1.62
10000091,1805-239,"1985-01-19 16:52:08","Rafael Carvalho",H,82,2,1,1.40
10000092,1152-223,"1983-12-02 12:03:07","André Castro",H,81,7,5,1.49
10000093,1535-710,"1994-09-08 10:12:34","Bernardo Vaz",H,94,6,1,1.45
10000094,1806-762,"1989-01-16 14:12:09","Matias Teixeira",H,64,1,0,1.31
10000095,1728-312,"1999-07-22 15:58:16","Rúben Silva",H,62,8,4,1.45
10000096,1346-841,"1992-08-08 11:06:55","Constança Nunes",M,88,4,2,1.65
10000097,1673-414,"1997-03-25 13:50:20","Nicole Alves",M,68,9,6,1.83
10000098,1175-298,"1991-03-20 10:26:28","Filipe Coimbra",H,64,0,0,1.69
10000099,1342-316,"1980-04-11 17:44:25","Santiago Nunes",H,80,9,1,1.58
